time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.0675,1.0440388e-06,2.5569282e-06,3.2585624e-06,1.3017851e-06,4.86633687656182e-15
0.068,3.4740165e-06,2.8300537e-06,3.7697288e-07,2.5295133e-06,1.033998571375876e-14
0.0685,2.3664245e-06,1.2494115e-06,3.3410518e-06,1.7367365e-06,1.1170989926258095e-14
0.069,3.7759157e-06,3.004312e-06,1.2153585e-06,6.529362e-07,1.517161502574559e-14
0.0695,1.5798042e-06,3.34766e-06,4.7547783e-06,2.8808226e-06,6.527695982012238e-15
0.07,2.455766e-06,1.7359853e-06,4.2299766e-06,3.0764313e-06,6.1072358456981965e-15
0.0705,1.4249126e-06,3.86518e-06,2.1861583e-06,2.1729143e-06,6.691799632605305e-15
0.071,2.7298422e-06,2.7093902e-06,1.0609232e-06,2.5316192e-06,1.426496181880936e-14
0.0715,2.5133538e-06,5.281785e-06,1.9789147e-06,1.0528279e-06,5.790480978278404e-15
0.072,1.2942797e-06,2.415287e-06,1.7186836e-06,1.0323828e-06,7.624249992850006e-15
0.0725,4.236361e-07,2.7408519e-06,2.4201458e-06,1.4600097e-06,1.1129397471172595e-14
0.073,2.1832236e-06,2.1366545e-06,3.357363e-06,4.7597955e-06,1.3237401937696395e-14
0.0735,9.2399216e-07,2.1629055e-06,2.12594e-06,2.1827022e-06,1.2961705227195162e-14
0.074,2.5139389e-06,1.2852684e-06,2.373276e-06,2.6253122e-06,8.813695521680592e-15
0.0745,1.2902203e-06,2.7174199e-06,1.3049847e-06,3.0298866e-06,5.079194502187911e-15
0.075,1.7010835e-06,4.570262e-06,1.5549417e-06,3.3447714e-06,1.5721322538738854e-14
0.0755,6.5569344e-07,1.5679711e-06,2.3806003e-06,3.0925564e-06,8.951592687234663e-15
0.076,3.2306e-06,2.5241638e-06,2.150948e-06,4.863169e-06,1.0413927479122515e-14
0.0765,8.8335736e-07,2.9173661e-06,1.1256296e-06,2.3146258e-06,6.134421763244771e-15
0.077,3.2073883e-06,2.5023749e-06,1.5734005e-06,1.4054568e-06,1.759108005531488e-14
0.0775,7.38557e-07,2.976803e-06,4.250881e-06,2.1266417e-06,7.0810995818524236e-15
0.078,1.3955924e-06,2.3511304e-06,8.20004e-07,2.7236126e-06,6.764393098477476e-15
0.0785,1.5176204e-06,2.4508786e-06,1.7930995e-06,2.1948758e-06,1.3993325169727852e-14
0.079,1.0178704e-06,1.7414646e-06,2.3860594e-06,2.3639836e-06,7.733402703665958e-15
0.0795,6.246058e-07,2.5438687e-06,2.4100411e-06,3.310071e-06,1.1439607886863054e-14
0.08,1.557657e-06,8.221421e-07,2.5110226e-06,5.0758526e-06,6.215266080590711e-15
0.0805,3.1559607e-06,2.210212e-06,1.8153481e-06,1.4996225e-06,7.913795568724395e-15
0.081,2.5746258e-06,3.043487e-06,1.1744078e-06,4.1122885e-06,9.394350098415574e-15
0.0815,1.650333e-06,4.5815254e-06,3.2501018e-06,1.8659206e-06,7.971988878370802e-15
0.082,1.6730867e-06,3.4349864e-06,1.9488218e-06,4.751952e-06,1.413399376621796e-14
0.0825,1.1985076e-06,4.935412e-07,1.1200926e-06,5.767808e-06,8.063651555618218e-15
0.083,9.968824e-07,1.8371385e-06,8.703557e-07,5.3842496e-06,1.741113253704e-14
0.0835,9.198073e-07,3.6764595e-06,2.3023138e-06,2.4834474e-06,6.975876797279405e-15
0.084,1.7304766e-06,2.7089393e-06,9.768007e-07,3.2733751e-06,9.352928889819689e-15
0.0845,2.384538e-06,1.6195032e-06,2.7756587e-06,2.7242647e-06,9.896721338491716e-15
