Frame,Donor,Acceptor,Distance
100,138,150,2.773036754867573
100,138,111,2.850766828513292
100,141,234,3.0052696940959645
100,144,135,2.8993654512880207
100,144,414,2.7379791310809867
100,147,144,3.3262348302805695
100,153,126,3.0417380753227587
100,156,147,2.875485581185357
100,156,429,3.1944656113536083
100,159,303,3.051414919515239
100,162,189,2.744493486414501
100,162,105,3.0411009483632934
100,162,18,3.006719455557359
100,165,543,2.7714407423355656
100,168,165,3.0918118415955798
100,171,549,2.7871267731389784
100,171,180,2.8019319819641915
100,174,210,3.2824463400568784
100,177,204,2.663585931185936
100,180,267,2.9336937046757554
100,180,207,3.1672043082154615
100,183,180,2.888324470937266
100,186,174,3.088098451584176
100,186,564,3.2351765864797577
100,189,198,3.020501185122562
100,192,165,3.0210776427958463
100,195,168,2.9724708886835782
100,195,192,2.954048080386279
100,198,171,3.155153314047205
100,201,192,3.133948740198747
100,201,210,2.9297595180858704
100,204,201,2.9167864293494876
100,207,225,2.7922039071822615
100,207,198,2.952661888072721
100,213,315,3.0342961405244293
100,213,288,2.656283114311565
100,216,219,3.174079219945843
100,219,75,2.9035621852182754
100,219,222,2.920136469403535
100,222,231,3.0151237437300984
100,225,228,2.8586540173940707
100,228,237,3.0797301581533425
100,231,306,2.857265236366342
100,231,201,2.983545878070127
100,234,27,2.80955692197103
100,237,240,2.9224308710959903
100,237,210,2.8970470712543857
100,240,231,3.0456361578314084
100,240,315,3.0280251712121267
100,243,168,2.9598611964218033
100,243,99,2.878163406551101
100,246,249,2.689568932938245
100,246,624,3.198770420780039
100,249,162,2.625016691565333
100,249,627,2.845646812772837
100,252,633,3.320538026917716
100,252,261,2.7815314328663954
100,255,258,2.693274145548185
100,258,171,2.679500677268486
100,261,291,2.977417527938503
100,261,81,3.150962266958412
100,264,642,2.6829466376981435
100,264,261,2.814091071812356
100,267,465,3.0069386920477945
100,267,294,2.9317171712526706
100,273,276,2.8610915462284403
100,276,249,2.8793088280099273
100,276,105,2.9652189766760726
100,276,189,3.097052509482509
100,279,252,3.0652475125198926
100,279,306,2.983602300494248
100,282,309,2.780280700039576
100,282,273,2.6791911655545664
100,288,318,2.896500262231066
100,288,279,2.923922071117336
100,291,264,2.7469054555010723
100,291,294,2.9764245806226994
100,294,207,3.1143634026693268
100,294,27,2.5691582188493656
100,297,567,3.0582804851612186
100,300,156,2.992575071061617
100,300,273,2.6466699412497694
100,303,312,2.7757065013102418
100,303,570,3.1438343916902713
100,309,297,2.899112442974871
100,312,582,3.042544140141018
100,312,321,2.890209193653545
100,315,135,2.8616856799682964
100,315,306,2.8398426633470537
100,318,321,3.179929761282519
100,318,282,2.9196329984043206
100,324,333,2.9475875246836587
100,324,351,3.1245044722554143
100,327,507,2.8174366558790855
100,327,510,2.5192754032085114
100,330,60,2.527100618046152
100,330,327,2.9901374761614035
100,333,420,2.8186865274686377
100,333,342,3.1086351408580546
100,336,345,2.7767567921607035
100,336,363,3.1044955354085957
100,339,366,2.918371982790248
100,339,330,3.077774399792802
100,339,414,2.7447783454556287
100,342,72,3.0674002315912183
100,342,345,2.849687166212784
100,345,489,2.9182296292027567
100,345,348,3.1104089020110495
100,348,339,2.822902431575862
100,351,354,2.833337158364317
100,354,327,3.249685266161728
100,354,363,2.7526721442706696
100,357,510,2.9901774296167414
100,357,432,2.742642100254236
100,360,333,2.5573855515639288
100,360,447,3.102801799976367
100,363,372,2.8488455311781657
100,363,366,2.9534389796745124
100,366,357,2.9017454247742056
100,366,393,3.0026286947867624
100,369,396,2.871987207321159
100,369,456,3.008496438495836
100,372,399,2.6667122188416577
100,375,402,2.8883276806651805
100,375,519,3.2494898614047645
100,378,381,2.9886895118002195
100,378,3,3.0617894253431226
100,378,558,2.771739856693279
100,381,384,3.285874935015842
100,381,354,2.953905640476106
100,384,357,2.92731286232637
100,384,459,2.7480590928434747
100,387,378,3.0371271406898575
100,387,360,2.82910657083089
100,390,381,2.7584556680257375
100,390,393,2.873691522795324
100,393,384,2.902301210869658
100,396,387,2.7741311507021567
100,396,483,2.5443249224768363
100,399,21,2.6643013932759043
100,399,390,3.1136170082669223
100,405,330,3.0084858460022503
100,408,591,2.681269128500504
100,408,138,3.0497167349232215
100,411,324,3.1521475732664404
100,411,351,2.9689844334172673
100,411,141,2.81346215560625
100,414,441,2.746304240275422
100,414,417,2.9126460998112904
100,417,420,2.896668852353272
100,417,444,2.9609654131607366
100,417,426,2.9855240720864806
100,420,444,2.6395506166192853
100,420,447,2.9683143041496503
100,420,411,2.933948426422154
100,423,414,3.0940396036095357
100,423,153,2.7207547633878133
100,426,423,2.9555328832808017
100,426,570,2.9095544778341456
100,429,159,2.9242982539284856
100,429,420,3.082303246268195
100,432,330,2.822297573280043
100,438,447,2.641503251608293
100,441,375,2.6941051387492894
100,441,468,2.842439945761934
100,444,447,2.709374673715933
100,444,453,2.752010212429574
100,447,360,3.102801799976367
100,450,423,3.004690275528329
100,450,519,2.8324725782101208
100,453,426,3.03773306784134
100,453,480,3.0724410691294683
100,459,462,2.9284183582372134
100,459,81,3.061752072909319
100,459,84,3.220151361965133
100,462,465,2.688020619309044
100,462,471,3.030056222875546
100,465,642,2.9369725596501577
100,468,459,3.1936680896271072
100,468,393,2.725815684410194
100,471,468,2.92630435021525
100,471,93,2.838368571046743
100,474,387,2.9959912054695126
100,477,450,2.869357670928536
100,477,441,2.929280440024153
100,480,471,2.738570896733763
100,483,480,3.1852445051242917
100,483,627,2.659275147628283
100,486,303,3.060036753393908
100,492,222,2.8338281153799616
100,492,489,2.7872873146179074
100,495,504,2.743903198662717
100,495,522,2.9306719250221103
100,498,501,2.6422210878179433
100,498,228,3.077697756458125
100,501,528,3.10705441439569
100,504,507,3.2494800406513904
100,504,351,2.7786962574706626
100,507,498,2.999444823072388
100,507,237,2.9191653724844784
100,510,534,3.0238112150408445
100,510,240,3.1773889593552602
100,513,516,2.6423095276286377
100,513,369,3.028169624101239
100,516,372,3.0575721883109783
100,516,519,2.8798010374015295
100,519,546,2.8141425277179715
100,519,528,3.112336697510471
100,519,492,3.0056226452352734
100,522,513,3.0004168277106213
100,525,531,3.1112790140987734
100,525,534,3.0184288901529026
100,525,498,3.0143069030068523
100,528,537,3.003463320683776
100,534,561,2.8600388206892626
100,534,531,2.981849503727734
100,537,510,3.0854431384365446
100,537,357,2.9005409223023197
100,540,513,2.8849306099391487
100,540,162,3.1408732169963147
100,543,516,2.994173053235891
100,543,552,2.629753788545118
100,546,543,3.0377862581293167
100,549,540,2.8909793187856345
100,549,636,2.6338357570636854
100,552,525,2.6132640769678583
100,555,630,2.806377133088232
100,558,531,2.5832317276765826
100,558,645,2.9760668233952723
100,561,183,2.768685560019584
100,561,552,3.057211680637779
100,564,537,2.8161974705392807
100,564,561,2.9216930096579756
100,567,423,3.0637607287758266
100,567,594,2.734559497650992
100,570,579,2.7821701280779476
100,570,426,2.9095544778341456
100,573,570,2.7544359210269382
100,573,582,2.984526498001423
100,576,603,2.7527067845619646
100,579,582,3.058899958403488
100,579,576,3.1735226761172175
100,582,609,3.0283546685788023
100,582,495,2.700684999498975
100,585,576,2.989571953894406
100,585,405,3.0712564756981973
100,591,504,3.032287473928742
100,591,615,2.591349643974261
100,594,603,2.7289529317661136
100,597,450,2.8198707136028798
100,597,594,3.100059501826519
100,600,513,2.7704440682061673
100,600,573,3.085504239749733
100,603,606,2.7587715620250046
100,606,588,2.8028388737474073
100,606,579,2.8517135343276214
100,609,606,3.0168545658645094
100,612,585,3.041626908258112
100,612,537,3.236607742469543
100,615,438,2.9030067372921438
100,618,615,2.626787639288048
100,621,477,3.077468440384017
100,621,243,2.7662866085016957
100,624,627,2.946652902700852
100,624,621,2.8910043827407024
100,627,249,2.845646812772837
100,627,636,3.100316382939013
100,627,600,2.597840280280308
100,630,639,2.8233792012633154
100,630,252,3.1415468100285753
100,633,624,2.728319712629214
100,633,255,2.8900546420432573
100,636,258,3.1954759130234818
100,639,252,2.8346179146246597
100,639,564,2.961691741367009
100,642,633,2.997101577695718
100,642,615,2.5772431954814756
100,645,267,3.079629812425373
150,0,267,2.9123006632699364
150,0,9,2.825139285081448
150,3,381,2.9997394440433793
150,3,378,2.772341981133588
150,3,183,3.006887230481096
150,6,186,3.1505482884873395
150,6,3,2.6890561081164135
150,9,96,3.052039579086653
150,9,18,2.971861847481764
150,9,12,2.98331636608852
150,12,39,2.950697247472568
150,15,81,2.7301809961672423
150,18,396,2.902239254020535
150,21,48,3.2401297066004853
150,21,390,2.9498144519608354
150,24,51,2.8893091577069203
150,24,15,3.181529462986746
150,27,30,2.9179991300745782
150,27,114,3.2167333110183796
150,30,0,3.0237830156568513
150,30,36,3.1005891238456633
150,33,39,2.714887982919148
150,33,6,3.0936624761968026
150,36,9,2.9041563849239678
150,36,45,3.1445561476566484
150,36,54,2.854849402340655
150,39,48,2.8591334708566425
150,42,117,2.8933529385623427
150,45,48,2.807076613937334
150,48,24,3.3596450279252625
150,48,75,3.024366504561042
150,51,126,2.9797920926918313
150,54,150,2.770835420177541
150,57,60,2.8652350577791377
150,57,33,2.9641559825405777
150,60,33,2.9125325891834137
150,63,54,2.9327440607971456
150,63,36,2.8837128529151244
150,63,75,2.856261921957389
150,66,36,3.0871599138282386
150,66,336,3.165840383810134
150,72,216,3.013355478614749
150,75,72,2.8245839467829312
150,75,66,2.8821344324024802
150,78,348,2.9059502596359885
150,78,69,2.6474077614039433
150,81,84,3.0836833771101895
150,81,6,2.8515621747379845
150,81,108,2.9755440134838964
150,87,93,3.0472452933883716
150,87,114,2.99934220744711
150,90,126,2.9966371553981217
150,93,102,3.174195450490148
150,93,84,2.9930403704617605
150,96,105,3.1351202806997214
150,99,90,3.0485985233393955
150,99,126,3.033120370843307
150,102,480,2.879084061070808
150,102,246,2.6370621279860185
150,105,483,2.9428862636798705
150,105,102,2.681715505250879
150,108,288,2.8129706415038203
150,108,261,2.9976757987933946
150,108,135,2.6795932873260964
150,111,108,2.772845332672862
150,111,87,2.9944673917816234
150,114,150,2.93999524619184
150,114,138,3.1816360138834905
150,114,123,3.0780292968352994
150,117,108,3.0217341960361592
150,117,144,2.694847968812076
150,120,111,3.224533451270101
150,120,147,2.8181018305564574
150,123,96,2.741275821397075
150,123,9,3.0658906138556175
150,123,120,2.771371204731725
150,126,147,2.7241331557024666
150,129,132,2.7049591569705598
150,129,102,2.9454366118778808
150,132,105,2.977719089960613
150,132,45,3.0154375580076813
150,135,318,2.7595016297024317
150,135,405,2.9748039266781308
